source_id,source_name,source_type,formal_partnership,platform,url,published_at,article_genre,market_category,notes,partnership_evidence_url
kalshi_archive_001,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/miami-lebron-james-next-team-odds,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_002,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-odyssey-oscar-odds-best-picture-director,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_003,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/kalshi-midterms-hub-launch-2026,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_004,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/reds-vs-mariners-odds-predictions-game-2-july-21,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_005,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/dodgers-vs-phillies-odds-predictions-game-2-july-21,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_006,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/lebron-james-next-team-odds-cleveland-miami-close,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_007,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/perpetuals-vs-futures,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_008,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/arizona-primary-odds-four-races-to-watch-today,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_009,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/ballon-dor-odds-2026-harry-kane-yamal-rodri,,,,Discovered from Kalshi News archive page 1,
kalshi_archive_010,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/spider-man-brand-new-day-rotten-tomatoes-odds,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_011,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/lebron-james-next-team-decision-odds-this-week-80-percent,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_012,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-week-ahead-big-business-and-big-brother,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_013,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/spain-vs-argentina-world-cup-final-odds-predictions,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_014,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-open-championship-final-round-odds-predictions-royal-birkdale,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_015,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/new-york-city-air-quality-odds-world-cup-final-wildfire-smoke,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_016,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/world-cup-2026-award-odds-golden-boot-golden-ball,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_017,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/world-cup-final-halftime-show-odds-who-will-perform-what-songs,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_018,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/lebron-james-next-team-odds-miami-heat-surge,,,,Discovered from Kalshi News archive page 2,
kalshi_archive_019,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/france-vs-england-world-cup-third-place-odds-predictions,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_020,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/south-carolina-senate-primary-odds-darline-graham-nordone-favorite,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_021,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-odyssey-oscars-odds,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_022,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/todd-blanche-attorney-general-confirmation-odds-predictions,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_023,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/lebron-james-next-team-odds-when-will-he-decide,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_024,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/big-brother-odds-predictions-week-1-eviction-season-28,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_025,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/kalshi-biotech-prediction-markets,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_026,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-open-championship-round-1-odds-predictions-royal-birkdale,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_027,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/lebron-james-next-team-odds-market-golden-state,,,,Discovered from Kalshi News archive page 3,
kalshi_archive_028,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/daylight-saving-time-permanent-odds,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_029,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-odyssey-rotten-tomatoes-odds-new-high,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_030,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/england-vs-argentina-world-cup-semifinal-odds-predictions,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_031,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/golden-boot-odds-messi-surges-past-mbappe,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_032,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/replacing-graham-south-carolina-senate-odds-american-power-index,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_033,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/france-vs-spain-semifinal-odds-predictions-world-cup,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_034,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/kalshi-j-balvin-advertising-campaign,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_035,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/gpu-compute-forward-curve,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_036,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/compute-forward-curves,,,,Discovered from Kalshi News archive page 4,
kalshi_archive_037,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/la-mayor-price-distortion-corrects-in-seconds,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_038,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/2026-home-run-derby-odds-schwarber-and-harper-all-star-game,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_039,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-odyssey-rotten-tomatoes-odds,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_040,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/france-vs-spain-world-cup-semifinal-odds,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_041,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/the-week-ahead-primaries-power-vacuums-and-kalshi-pro,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_042,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/kalshi-pro-trading-terminal,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_043,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/sinner-zverev-odds-predictions-wimbledon-final,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_044,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/mcgregor-vs-holloway-329-odds,,,,Discovered from Kalshi News archive page 5,
kalshi_archive_045,Kalshi News,platform_owned,0,kalshi,https://news.kalshi.com/p/200-fans-showed-up-to-kalshis-haaland-lookalike-contest-one-norwegian-walked-out-a-winner,,,,Discovered from Kalshi News archive page 5,
