source_id,source_name,source_type,formal_partnership,platform,url,published_at,article_genre,market_category,notes,partnership_evidence_url
partner_cnn_001,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/arena/date/2026-03-21/segment/01,2026-03-21,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/arena/date/2026-03-21/segment/01
partner_cnn_002,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/qmb/date/2026-03-24/segment/01,2026-03-24,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/qmb/date/2026-03-24/segment/01
partner_cnn_003,CNN,partner_media,1,multiple,https://transcripts.cnn.com/show/ip/date/2026-03-24/segment/02,2026-03-24,transcript,politics,Discovered from CNN transcript search,https://transcripts.cnn.com/show/ip/date/2026-03-24/segment/02
partner_cnn_004,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-03-24/segment/08,2026-03-24,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-03-24/segment/08
partner_cnn_005,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/smer/date/2026-03-28/segment/01,2026-03-28,transcript,politics,Discovered from CNN transcript search,https://transcripts.cnn.com/show/smer/date/2026-03-28/segment/01
partner_cnn_006,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-03-30/segment/12,2026-03-30,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-03-30/segment/12
partner_cnn_007,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-04-22/segment/12,2026-04-22,transcript,politics,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-04-22/segment/12
partner_cnn_008,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/ctw/date/2026-04-23/segment/02,2026-04-23,transcript,geopolitics,Discovered from CNN transcript search,https://transcripts.cnn.com/show/ctw/date/2026-04-23/segment/02
partner_cnn_009,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/ow/date/2026-04-23/segment/02,2026-04-23,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/ow/date/2026-04-23/segment/02
partner_cnn_010,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/sitroom/date/2026-04-24/segment/01,2026-04-24,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/sitroom/date/2026-04-24/segment/01
partner_cnn_011,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-04-28/segment/06,2026-04-28,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-04-28/segment/06
partner_cnn_012,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-05-01/segment/06,2026-05-01,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-05-01/segment/06
partner_cnn_013,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-05-04/segment/06,2026-05-04,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-05-04/segment/06
partner_cnn_014,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-05-05/segment/06,2026-05-05,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-05-05/segment/06
partner_cnn_015,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-05-06/segment/06,2026-05-06,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-05-06/segment/06
partner_cnn_016,CNN,partner_media,1,kalshi,https://transcripts.cnn.com/show/cnc/date/2026-05-14/segment/06,2026-05-14,transcript,other,Discovered from CNN transcript search,https://transcripts.cnn.com/show/cnc/date/2026-05-14/segment/06
