pair_id,article_id,market_id,article_url,article_title,context_excerpt,evidence_text,quoted_price,quoted_price_unit,source_notes,publication_time,source_type,platform,topic,match_status,snapshot_status,double_code,coder_id,market_probability_present,probability_as_public_opinion,representativeness_caveat,market_quality_caveat,certainty_language,democratic_language,horse_race_frame,overreach_severity,notes,quality_evidence_class,price_at_publication,trade_count_window,volume_window,spread_at_publication,quality_missing
1dcfd32b9296f29b,kalshi_archive_015,KXMENWORLDCUP-26,https://news.kalshi.com/p/new-york-city-air-quality-odds-world-cup-final-wildfire-smoke,Odds point to cleaner air in NYC for Sunday's World Cup final,"Odds point to cleaner air in NYC for Sunday's World Cup final Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts Odds point to cleaner air in NYC for Sunday's World Cup final Odds point to cleaner air in NYC for Sunday's World Cup final After wildfire smoke pushed NYC's AQI above 230, Kalshi traders now forecast a reading of 76.1 by Sunday afternoon. By Danny Gallagher Jul 19, 2026 Wildfire smoke has degraded air quality across muc",World Cup final between Spain and Argentina,,,Discovered from Kalshi News archive page 2,2026-07-19T05:10:08.120Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,1,1,0,0,1,0,1,2,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
a4483fb604876f48,kalshi_archive_002,KXOSCARNOMASPLAY-27,https://news.kalshi.com/p/the-odyssey-oscar-odds-best-picture-director,"Oscar odds: The Odyssey leads Best Picture, Best Director, and more","Oscar odds: The Odyssey leads Best Picture, Best Director, and more Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts Oscar odds: The Odyssey leads Best Picture, Best Director, and more Oscar odds: The Odyssey leads Best Picture, Best Director, and more Director Christopher Nolan's movie leads across multiple Oscar markets. By Danny Gallagher Jul 22, 2026 Christopher Nolan's The Odyssey isn't just winning over critics . The film a",The Adapted Screenplay,,,Discovered from Kalshi News archive page 1,2026-07-22T19:08:35.423Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,1,0,0,0,1,0,1,2,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
88bc576ca9ec2613,kalshi_archive_021,KXOSCARNOMPIC-27,https://news.kalshi.com/p/the-odyssey-oscars-odds,"The Odyssey, the Oscars, and the odds","The Odyssey, the Oscars, and the odds Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The Odyssey, the Oscars, and the odds The Odyssey, the Oscars, and the odds From a near-perfect Rotten Tomatoes score to Best Picture frontrunner status, many Kalshi traders are all in on The Odyssey. By Jack Kuveke Jul 17, 2026 If you're anything like me, every year in July or August you get nostalgic for going to the movies when you were a ki",Best Picture Nominees,,,Discovered from Kalshi News archive page 3,2026-07-17T20:33:38.123Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,1,1,0,1,0,0,1,2,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
cdc6ce41b93752af,kalshi_archive_017,KXWCFINALSONGS-26JUL20,https://news.kalshi.com/p/world-cup-final-halftime-show-odds-who-will-perform-what-songs,World Cup Final halftime show odds: Who will perform and what songs will they play?,"World Cup Final halftime show odds: Who will perform and what songs will they play? Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts World Cup Final halftime show odds: Who will perform and what songs will they play? World Cup Final halftime show odds: Who will perform and what songs will they play? The World Cup Final’s 30-minute halftime show will feature Justin Bieber, Madonna, Shakira, and BTS. By Danny Gallagher Jul 19, 2026",the songs,,,Discovered from Kalshi News archive page 2,2026-07-19T01:30:41.164Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,1,0,0,0,0,0,1,2,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
a62595a8de2823e1,kalshi_archive_014,KXPGAROUNDSCORE-THOC26R4,https://news.kalshi.com/p/the-open-championship-final-round-odds-predictions-royal-birkdale,The Open Championship final round odds and predictions: Traders give Burns a 41% shot at the Claret Jug,"The Open Championship final round odds and predictions: Traders give Burns a 41% shot at the Claret Jug Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The Open Championship final round odds and predictions: Traders give Burns a 41% shot at the Claret Jug The Open Championship final round odds and predictions: Traders give Burns a 41% shot at the Claret Jug Sam Burns shares the 54-hole lead at Royal Birkdale, where Kalshi trader",50%,41,%,Discovered from Kalshi News archive page 2,2026-07-19T06:51:17.126Z,platform_owned,kalshi,,exact_identifier,historical_price_matched,0,,1,1,0,0,1,0,1,2,AI ai_coder_a heuristic annotation.,historical_price_matched,0.4100,,,,1
31e48f52049f052b,kalshi_archive_041,KXEARNINGSMENTIONMS-26JUL15,https://news.kalshi.com/p/the-week-ahead-primaries-power-vacuums-and-kalshi-pro,"The week ahead: Primaries, power vacuums, and Kalshi Pro","The week ahead: Primaries, power vacuums, and Kalshi Pro Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Primaries, power vacuums, and Kalshi Pro The week ahead: Primaries, power vacuums, and Kalshi Pro From Maine's midterm meltdown to South Carolina's senate scramble, here are the markets that matter for the week of July 13. By Jack Kuveke Jul 13, 2026 Good morning traders, Sadly, on Saturday, longtime Senator L",Morgan Stanley,,,Discovered from Kalshi News archive page 5,2026-07-13T19:27:43.417Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,0,0,0,0,0,0,0,0,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
a0bef42090ae332b,kalshi_archive_038,KXMLBHRDERBY-26,https://news.kalshi.com/p/2026-home-run-derby-odds-schwarber-and-harper-all-star-game,2026 Home Run Derby odds: Schwarber and Harper headline a wide-open field,"2026 Home Run Derby odds: Schwarber and Harper headline a wide-open field Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts 2026 Home Run Derby odds: Schwarber and Harper headline a wide-open field 2026 Home Run Derby odds: Schwarber and Harper headline a wide-open field Schwarber is the slim favorite at 23%, with Caminero (22%) and Murakami (14%) right on his heels. By Kalshi News Jul 13, 2026 Philadelphia's Citizens Bank Park ho",Home Run Derby,,,Discovered from Kalshi News archive page 5,2026-07-13T23:23:19.704Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,1,0,0,1,1,0,1,1,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
466859bae19e97da,kalshi_archive_012,KXSCHW-26JULBROK,https://news.kalshi.com/p/the-week-ahead-big-business-and-big-brother,"Big Brother, Zyn & company KPI odds this week","Big Brother, Zyn & company KPI odds this week Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Big business and Big Brother The week ahead: Big business and Big Brother From KPIs to the KPOW index, here are the markets that matter for the week of July 20. By Jack Kuveke Jul 20, 2026 Image credit: CBS | Kalshi is not affiliated with Big Brother. Good afternoon, traders. I hope that your weekend was enjoyable and re",Click for details.,,,Discovered from Kalshi News archive page 2,2026-07-20T20:31:10.149Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,1,0,0,0,0,0,1,2,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
bb07552fa85e4563,kalshi_archive_041,KXEARNINGSMENTIONBAC-26JUL14,https://news.kalshi.com/p/the-week-ahead-primaries-power-vacuums-and-kalshi-pro,"The week ahead: Primaries, power vacuums, and Kalshi Pro","The week ahead: Primaries, power vacuums, and Kalshi Pro Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Primaries, power vacuums, and Kalshi Pro The week ahead: Primaries, power vacuums, and Kalshi Pro From Maine's midterm meltdown to South Carolina's senate scramble, here are the markets that matter for the week of July 13. By Jack Kuveke Jul 13, 2026 Good morning traders, Sadly, on Saturday, longtime Senator L",Bank of America,,,Discovered from Kalshi News archive page 5,2026-07-13T19:27:43.417Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,0,0,0,0,0,0,0,0,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
c9c2ed0aabbb088e,kalshi_archive_041,KXMEDNOMJUL-26AUG01,https://news.kalshi.com/p/the-week-ahead-primaries-power-vacuums-and-kalshi-pro,"The week ahead: Primaries, power vacuums, and Kalshi Pro","The week ahead: Primaries, power vacuums, and Kalshi Pro Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Primaries, power vacuums, and Kalshi Pro The week ahead: Primaries, power vacuums, and Kalshi Pro From Maine's midterm meltdown to South Carolina's senate scramble, here are the markets that matter for the week of July 13. By Jack Kuveke Jul 13, 2026 Good morning traders, Sadly, on Saturday, longtime Senator L",pricing in what comes next,,,Discovered from Kalshi News archive page 5,2026-07-13T19:27:43.417Z,platform_owned,kalshi,,exact_identifier,unavailable,0,,0,1,0,0,0,0,0,2,AI ai_coder_a heuristic annotation.,unavailable,,,,,1
