pair_id,article_id,market_id,article_url,article_title,context_excerpt,evidence_text,quoted_price,quoted_price_unit,source_notes,publication_time,source_type,platform,topic,match_status,snapshot_status,double_code,coder_id,market_probability_present,probability_as_public_opinion,representativeness_caveat,market_quality_caveat,certainty_language,democratic_language,horse_race_frame,overreach_severity,notes
7b20fa0679e6c3d6,kalshi_archive_012,KXGOOG-26OCTHEAD,https://news.kalshi.com/p/the-week-ahead-big-business-and-big-brother,"Big Brother, Zyn & company KPI odds this week","Big Brother, Zyn & company KPI odds this week Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Big business and Big Brother The week ahead: Big business and Big Brother From KPIs to the KPOW index, here are the markets that matter for the week of July 20. By Jack Kuveke Jul 20, 2026 Image credit: CBS | Kalshi is not affiliated with Big Brother. Good afternoon, traders. I hope that your weekend was enjoyable and re","(I’m tempted to say this is indicative as to whether  is going to take your job, but I don’t know exactly how.)",,,Discovered from Kalshi News archive page 2,2026-07-20T20:31:10.149Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,1,0,0,1,0,0,1,1, b heuristic annotation.
6d307a1814cf7864,kalshi_archive_021,KXRT-OBS,https://news.kalshi.com/p/the-odyssey-oscars-odds,"The Odyssey, the Oscars, and the odds","The Odyssey, the Oscars, and the odds Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The Odyssey, the Oscars, and the odds The Odyssey, the Oscars, and the odds From a near-perfect Rotten Tomatoes score to Best Picture frontrunner status, many Kalshi traders are all in on The Odyssey. By Jack Kuveke Jul 17, 2026 If you're anything like me, every year in July or August you get nostalgic for going to the movies when you were a ki",Obsession,,,Discovered from Kalshi News archive page 3,2026-07-17T20:33:38.123Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,1,1,0,1,0,0,1,2, b heuristic annotation.
3cbbd9c4ea498c6f,kalshi_archive_044,KXUFCFIGHT-26JUL11MCGHOL,https://news.kalshi.com/p/mcgregor-vs-holloway-329-odds,"McGregor vs. Holloway odds: ""The Notorious"" given just a 28% shot tonight","McGregor vs. Holloway odds: ""The Notorious"" given just a 28% shot tonight Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts McGregor vs. Holloway odds: Traders give ""The Notorious"" just a 28% shot at 329 McGregor vs. Holloway odds: Traders give ""The Notorious"" just a 28% shot at 329 Holloway is a 72% favorite heading into tonight's match. By Danny Gallagher Jul 12, 2026 Conor McGregor returns to the Octagon tonight against Max Hol",the market for tonight's fight,,,Discovered from Kalshi News archive page 5,2026-07-12T02:20:54.114Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,1,1,0,0,1,0,1,2, b heuristic annotation.
11bdfd1f42b57868,kalshi_archive_012,KXPM-26JULZYNSHIP,https://news.kalshi.com/p/the-week-ahead-big-business-and-big-brother,"Big Brother, Zyn & company KPI odds this week","Big Brother, Zyn & company KPI odds this week Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Big business and Big Brother The week ahead: Big business and Big Brother From KPIs to the KPOW index, here are the markets that matter for the week of July 20. By Jack Kuveke Jul 20, 2026 Image credit: CBS | Kalshi is not affiliated with Big Brother. Good afternoon, traders. I hope that your weekend was enjoyable and re",(It’s been years since I’ve seen a urinal without a Zyn in it),,,Discovered from Kalshi News archive page 2,2026-07-20T20:31:10.149Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,1,0,0,0,0,0,1,2, b heuristic annotation.
000ee7e914f567db,kalshi_archive_033,KXWCADVANCE-26JUL15ENGARG,https://news.kalshi.com/p/france-vs-spain-semifinal-odds-predictions-world-cup,France vs. Spain semifinal odds: Traders make Les Bleus the favorite at 58%,"France vs. Spain semifinal odds: Traders make Les Bleus the favorite at 58% Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts France vs. Spain semifinal odds: Traders make Les Bleus the favorite at 58% France vs. Spain semifinal odds: Traders make Les Bleus the favorite at 58% Kalshi traders price France with a slight edge, but whoever wins likely becomes the World Cup favorite. By Kalshi News Jul 14, 2026 The 2026 World Cup semif",55%,55,%,Discovered from Kalshi News archive page 4,2026-07-14T18:12:50.621Z,platform_owned,kalshi,,exact_identifier,historical_price_matched,0,b,1,1,0,1,1,0,1,2, b heuristic annotation.
b7d98d92dae31565,kalshi_archive_012,KXNAVAJOPRES-26NOV03,https://news.kalshi.com/p/the-week-ahead-big-business-and-big-brother,"Big Brother, Zyn & company KPI odds this week","Big Brother, Zyn & company KPI odds this week Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Big business and Big Brother The week ahead: Big business and Big Brother From KPIs to the KPOW index, here are the markets that matter for the week of July 20. By Jack Kuveke Jul 20, 2026 Image credit: CBS | Kalshi is not affiliated with Big Brother. Good afternoon, traders. I hope that your weekend was enjoyable and re",Navajo Nation presidential election winner?,,,Discovered from Kalshi News archive page 2,2026-07-20T20:31:10.149Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,1,0,0,0,0,0,1,2, b heuristic annotation.
5640a701edda2765,kalshi_archive_012,KXBERNIEMENTION-26JUL20B,https://news.kalshi.com/p/the-week-ahead-big-business-and-big-brother,"Big Brother, Zyn & company KPI odds this week","Big Brother, Zyn & company KPI odds this week Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Big business and Big Brother The week ahead: Big business and Big Brother From KPIs to the KPOW index, here are the markets that matter for the week of July 20. By Jack Kuveke Jul 20, 2026 Image credit: CBS | Kalshi is not affiliated with Big Brother. Good afternoon, traders. I hope that your weekend was enjoyable and re",What will Bernie say during his Minneapolis Rally?,,,Discovered from Kalshi News archive page 2,2026-07-20T20:31:10.149Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,1,0,0,0,0,0,1,2, b heuristic annotation.
007d0db924383caf,kalshi_archive_041,KXEARNINGSMENTIONC-26JUL14,https://news.kalshi.com/p/the-week-ahead-primaries-power-vacuums-and-kalshi-pro,"The week ahead: Primaries, power vacuums, and Kalshi Pro","The week ahead: Primaries, power vacuums, and Kalshi Pro Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts The week ahead: Primaries, power vacuums, and Kalshi Pro The week ahead: Primaries, power vacuums, and Kalshi Pro From Maine's midterm meltdown to South Carolina's senate scramble, here are the markets that matter for the week of July 13. By Jack Kuveke Jul 13, 2026 Good morning traders, Sadly, on Saturday, longtime Senator L",Citigroup,,,Discovered from Kalshi News archive page 5,2026-07-13T19:27:43.417Z,platform_owned,kalshi,,exact_identifier,unavailable,0,b,0,0,0,0,0,0,0,0, b heuristic annotation.
ffceac8dd028dc04,kalshi_archive_004,KXMLB-26,https://news.kalshi.com/p/reds-vs-mariners-odds-predictions-game-2-july-21,Reds vs. Mariners predictions: Chase Burns looks to flip the series in Seattle,"Reds vs. Mariners predictions: Chase Burns looks to flip the series in Seattle Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts Reds vs. Mariners predictions: Chase Burns looks to flip the series in Seattle Reds vs. Mariners predictions: Chase Burns looks to flip the series in Seattle Burns is 11-1 with a 2.54 ERA, but Kalshi traders still give Seattle the 53% edge at home. By Kalshi News Jul 21, 2026 Chase Burns takes the mound ",33%,61,%,Discovered from Kalshi News archive page 1,2026-07-21T23:41:00.608Z,platform_owned,kalshi,,exact_identifier,historical_price_matched,0,b,1,1,0,1,1,0,1,2, b heuristic annotation.
b58123da9484a4c8,kalshi_archive_023,KXNBATEAMANNOUNCE-26LJAMES23,https://news.kalshi.com/p/lebron-james-next-team-odds-when-will-he-decide,LeBron James 'next team' odds: When will he decide?,"LeBron James 'next team' odds: When will he decide? Sign Up Search News Sports 2026 Midterm Hub Markets Features Interviews Announcements Learn KPOW Authors Home Posts LeBron James 'next team' odds: When will he decide? LeBron James 'next team' odds: When will he decide? Traders give LeBron just a 22% chance of deciding this week, but a decision could come soon after. By Danny Gallagher Jul 16, 2026 LeBron James has yet to announce where he'll play next season, and Kalshi traders expect the wait",22%,22,%,Discovered from Kalshi News archive page 3,2026-07-16T23:36:55.725Z,platform_owned,kalshi,,exact_identifier,historical_price_matched,0,b,1,1,0,1,1,0,1,2, b heuristic annotation.
